model_name,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,train_time,model
Gradient Boosting,2913.796343593133,84190.25656682024,2342.346742542368,64367.50716354059,0.9996933055587806,0.33678952229199843,0.09745311737060547,"GradientBoostingRegressor(max_depth=5, random_state=42)"
Decision Tree,23609.58965852083,97501.7645971147,9184.083384640051,69551.97863868276,0.9798644083777849,0.11048625337204321,0.0044443607330322266,"DecisionTreeRegressor(max_depth=10, random_state=42)"
SVR,168933.0890865277,110458.28765570681,107330.08941259942,93403.02787634126,-0.03090100672248619,-0.14162724739153232,0.003986358642578125,"SVR(C=100, gamma=0.1)"
Random Forest,50805.884072410336,121592.49523047038,33272.871934506096,80809.22021785718,0.9067571493570281,-0.38337924106739996,0.11994552612304688,"RandomForestRegressor(max_depth=15, random_state=42)"
ElasticNet,91688.72836604403,122640.34170675505,62169.94621767726,79244.82613093602,0.6963177449981255,-0.4073250451080648,0.004982948303222656,ElasticNet(alpha=0.1)
Ridge Regression,86728.95064874942,124423.50123819432,57612.94446028982,80328.83197132219,0.7282836949491905,-0.4485468595900328,0.0020630359649658203,Ridge()
Linear Regression,85592.95109283089,132079.30456828265,58064.39366444452,85538.04248687362,0.7353551072071602,-0.6322897742406608,0.00201416015625,LinearRegression()
Lasso Regression,85592.9601183794,132082.91947367048,58065.099935708255,85542.52064676958,0.7353550513949605,-0.6323791244059378,0.004983425140380859,Lasso(alpha=0.1)
KNN,113580.90730740168,158871.20437560545,78569.34794444444,97201.90907142858,0.5339868371908925,-1.3616638858033348,0.002991199493408203,KNeighborsRegressor()
